topic,description,description_fr
0,QCD calculation techniques,Techniques de calcul en QCD
1,Meson phenomenology,Phénoménologie des mésons
2,M-theory and theories of everything,Théorie M et théories du tout
3,Flavor mixing,Changement de saveur
4,Partons distributions,Partons et fonction de distribution
5,Loops and higher order expansions in Feynman Diagrams,Développements d'ordre supérieur dans les diagrammes de Feynman
6,Topology,Topologie
7,String theory,Théorie des cordes
8,Quantum Systems and Equations of motion,Systèmes quantiques et équations du mouvement
9,Effective Field Theory,Théories effectives des champs
10,Cosmology and gravity,Cosmologie et Gravité
11,Supergravity,Supergravité
12,Quantum Chromodynamics (QCD),QCD
13,Amplitudes and Feynman Diagram,Amplitudes et diagrammes de Feynman
14,Gauge Theory,Théories de jauge
15,Conformal Field Theory,Théorie conforme des champs
16,Experiments on light,Sources de lumière
17,Field theory and gravity,Théorie des champs et gravité
18,Renormalization,Renormalization
19,Holographic Principle and dualities,Dualités et principe holographique
20,Annihilation and scattering cross-sections,Sections efficaces d'annihilation et de diffusion
21,Solar neutrinos,Neutrinos solaires
22,Form factors,Facteurs de forme
23,Spin/angular momentum/polarization,Spin/moment angulaire/polarization
24,Hadronic zoo,Zoo des particules hadroniques
25,Search for BSM physics,Recherche de Physique au-delà du Modèle Standard
26,Non-abelian theories,Théories non-abéliennes
27,Black holes,Trous noirs
28,Lepton/Meson decay,Désintégrations fortes et faibles
29,High-energy source fluxes,Flux de sources à haute-énergie
30,CP violating processes,Processus de violation CP
31,Amplitude of processes in colliders,Amplitude d'événements dans des collisionneurs
32,Early-universe and other cosmological data,Univers primordial et observations cosmologiques
33,Dark matter (particles and direct searches),Matière noire (particules et recherche directe)
34,Higgs boson,Boson de Higgs
35,Perturbative QCD,QCD perturbative
36,Dark matter in the universe,Matière noire dans l'univers
37,Supersymmetric particles,Phénoménologie de la supersymétrie et superpartenaires
38,Detectors,Détecteurs
39,Events in colliders (signatures?),Événements dans des détecteurs (signatures)
40,Matter in Yang-Mills theories,Champs de matière et théories de Yang-Mills
41,Decay measurements,Mesure de désintégration
42,Supersymmetric theories,Théories supersymétriques
43,Gravitons and extra-dimensions,Gravitons et dimensions supplémentaires
44,Algorithms and calculation techniques,Algorithmes et techniques de calcul
45,Neutrino physics,Physique des neutrinos
46,Inflation,Inflation
47,Events in colliders (kinematics?),Événements dans des détecteurs (cinématique)
48,Top quark,Quark top
49,States of matter,États de la matière
50,Analyses and measurements from colliders,Analyses et mesures dans les collisionneurs
51,Flavour physics,Leptons et physique de la saveur
52,Astrophysics,Astrophysique
53,Cosmological sources,Sources cosmologiques
54,Measurements and analysis of colliders data,Données issues des collisionneurs
55,Thermodynamics,Thermodynamique
56,Double-beta decay,Double désintégration bêta
57,Symétrie chirale,Symétrie chirale
58,Gauge symmetry breaking/GUTs,Brisure de symétrie et Grande Unification
59,Cross-sections in colliders,Sections efficaces dans des collisionneurs
60,Sigma models (?), Sigma models (?)
61,Scattering of composite particles,Diffusion de particules composites
62,Space-time geometry and gravity,Géométrie de l'espace-temps et gravité
63,Electromagnetism,Électromagnétisme
64,Higgs sector beyond the SM,Higgs au-delà du Modèle Standard
65,Experimental investigation of the leptonic sector,Données expérimentale et secteur leptonique
66,Lattice calculation techniques,Techniques de calcul sur réseau
67,Lie algebra,Algèbre et algèbre de Lie
68,Boundary conditions/non-locality,Conditions aux bords/non-localité
69,Quantum systems and thermodynamics,Dynamique et thermodynamique des systèmes
70,Heavy quarks and ions,Quarks et ions lourds
71,Phenomenological jargon,Jargon (phénoménologie)
72,Quantum Field Theory,Théorie Quantique des Champs
73,Experimental jargon,Jargon (expérience)
74,Theoretical jargon,Jargon (Théorie)